fili_date,fileref_date,filo
['Mt_Meager_20210727'],['Mt_Meager_20210728'],['Pixel-Change: Mt_Meager_20210727_Mt_Meager_20210728']
['Mt_Meager_20210728'],['Mt_Meager_20210729'],['Pixel-Change: Mt_Meager_20210728_Mt_Meager_20210729']
['Mt_Meager_20210729'],['Mt_Meager_20210730'],['Pixel-Change: Mt_Meager_20210729_Mt_Meager_20210730']
['Mt_Meager_20210730'],['Mt_Meager_20210802'],['Pixel-Change: Mt_Meager_20210730_Mt_Meager_20210802']
['Mt_Meager_20210802'],['Mt_Meager_20210803'],['Pixel-Change: Mt_Meager_20210802_Mt_Meager_20210803']
['Mt_Meager_20210803'],['Mt_Meager_20210804'],['Pixel-Change: Mt_Meager_20210803_Mt_Meager_20210804']
['Mt_Meager_20210804'],['Mt_Meager_20210810'],['Pixel-Change: Mt_Meager_20210804_Mt_Meager_20210810']
['Mt_Meager_20210810'],['Mt_Meager_20210811'],['Pixel-Change: Mt_Meager_20210810_Mt_Meager_20210811']
['Mt_Meager_20210811'],['Mt_Meager_20210812'],['Pixel-Change: Mt_Meager_20210811_Mt_Meager_20210812']
['Mt_Meager_20210812'],['Mt_Meager_20210813'],['Pixel-Change: Mt_Meager_20210812_Mt_Meager_20210813']
['Mt_Meager_20210813'],['Mt_Meager_20210817'],['Pixel-Change: Mt_Meager_20210813_Mt_Meager_20210817']
['Mt_Meager_20210817'],['Mt_Meager_20210818'],['Pixel-Change: Mt_Meager_20210817_Mt_Meager_20210818']
